visitor_id,headline,clicked
V272,Headline C,No-click
V273,Headline C,No-click
V274,Headline C,No-click
V275,Headline C,No-click
V276,Headline C,No-click
V277,Headline C,No-click
V278,Headline C,No-click
V279,Headline C,No-click
V280,Headline C,No-click
V281,Headline C,No-click
V282,Headline C,No-click
V283,Headline C,No-click
V284,Headline C,No-click
V285,Headline C,No-click
V286,Headline C,No-click
V287,Headline C,No-click
V288,Headline C,No-click
V289,Headline C,No-click
V290,Headline C,No-click
V291,Headline C,No-click
V292,Headline C,No-click
V293,Headline C,No-click
V294,Headline C,No-click
V295,Headline C,No-click
V296,Headline C,No-click
V297,Headline C,No-click
V298,Headline C,No-click
V299,Headline C,No-click
V300,Headline C,No-click
